Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Highest education level completed,Political affiliation (uk),Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6914ae397c90381b82ec7f2c,64a9858be9b52e570ffb3c1e,AWAITING REVIEW,Not Applicable,2025-11-12T15:56:41.755000Z,2025-11-12T16:39:25.201000Z,,2025-11-12T16:39:25.612060Z,2564.0,CBN3YT5G,3275,Woman (including Trans Female/Trans Woman),Secondary education (e.g. GED/GCSE),Left,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6914ae5d5b70971198fc3046,5a8f01d95292b80001235d34,AWAITING REVIEW,Not Applicable,2025-11-12T15:57:17.735000Z,2025-11-12T16:11:29.526000Z,,2025-11-12T16:11:29.910377Z,852.0,CBN3YT5G,3350,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Left,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6914ae7616e9e284d84d9f83,634842a70942fb4ba6aa1e88,AWAITING REVIEW,Not Applicable,2025-11-12T15:57:50.906000Z,2025-11-12T16:29:30.287000Z,,2025-11-12T16:29:30.698518Z,1900.0,CBN3YT5G,1827,Man (including Trans Male/Trans Man),Technical/community college,Centre,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6914ae9a2954d4be98ce15ad,66b8830e5812d8df82589ef3,AWAITING REVIEW,Not Applicable,2025-11-12T15:58:33.723000Z,2025-11-12T16:23:02.035000Z,,2025-11-12T16:23:02.443035Z,1469.0,CBN3YT5G,1687,Man (including Trans Male/Trans Man),No formal qualifications,N/A,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6914af05c711e9cb2d860293,5d42cf5669717700013c822f,AWAITING REVIEW,Not Applicable,2025-11-12T16:01:22.936000Z,2025-11-12T16:29:57.083000Z,,2025-11-12T16:29:57.498044Z,1715.0,CBN3YT5G,3168,Man (including Trans Male/Trans Man),High school diploma/A-levels,Centre,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6914af13a612664695febc22,58954e2dc88c680001dd4b7e,AWAITING REVIEW,Not Applicable,2025-11-12T16:00:25.238000Z,2025-11-12T16:18:26.727000Z,,2025-11-12T16:18:27.119441Z,1082.0,CBN3YT5G,5951,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Centre,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6914b1d9c71d6f6c57d16712,609a3eb31cacec1cad4b9448,AWAITING REVIEW,Not Applicable,2025-11-12T16:12:18.966000Z,2025-11-12T16:34:34.758000Z,,2025-11-12T16:34:35.162979Z,1336.0,CBN3YT5G,1520,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Centre,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6914b1f6d0ddd93acc0d73a6,651ac88823e71c05dbc1ff63,AWAITING REVIEW,Not Applicable,2025-11-12T16:12:49.901000Z,2025-11-12T16:27:48.164000Z,,2025-11-12T16:27:48.544822Z,899.0,CBN3YT5G,4312,Man (including Trans Male/Trans Man),High school diploma/A-levels,Left,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6914b214c690e380a211d75c,5b490405bc06c90001f8d6a5,AWAITING REVIEW,Not Applicable,2025-11-12T16:13:08.917000Z,2025-11-12T16:36:22.973000Z,,2025-11-12T16:36:23.396961Z,1395.0,CBN3YT5G,2339,Man (including Trans Male/Trans Man),Technical/community college,Centre,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6914b31da737e65808489247,600a97750a20c621b3d6d358,AWAITING REVIEW,Not Applicable,2025-11-12T16:17:33.045000Z,2025-11-12T16:42:26.835000Z,,2025-11-12T16:42:27.195462Z,1494.0,CBN3YT5G,3689,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Right,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6914b38e5d75f08b997987a4,5e9ffa9ee172201b04f1a4c6,AWAITING REVIEW,Not Applicable,2025-11-12T16:19:33.211000Z,2025-11-12T17:00:31.370000Z,,2025-11-12T17:00:31.766359Z,2459.0,CBN3YT5G,5048,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Right,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6914b58d71231509df1328bc,664df024c7ce709382bea0ed,AWAITING REVIEW,Not Applicable,2025-11-12T16:28:13.695000Z,2025-11-12T17:02:58.177000Z,,2025-11-12T17:02:58.573353Z,2085.0,CBN3YT5G,2592,Woman (including Trans Female/Trans Woman),Technical/community college,N/A,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6914b5f953452a356adf2eff,6659f6ef84884698f437bead,AWAITING REVIEW,Not Applicable,2025-11-12T16:30:15.151000Z,2025-11-12T16:53:17.068000Z,,2025-11-12T16:53:17.482848Z,1382.0,CBN3YT5G,505,Man (including Trans Male/Trans Man),High school diploma/A-levels,Left,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6914b730de55e7bba6e57e99,66ace3e7ed907ed66befc17c,AWAITING REVIEW,Not Applicable,2025-11-12T16:35:40.203000Z,2025-11-12T16:57:03.497000Z,,2025-11-12T16:57:03.901421Z,1284.0,CBN3YT5G,285,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Left,25,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6914b9e6add2cf70c1c0584f,596f2a1f50e2f000016fd93b,AWAITING REVIEW,Not Applicable,2025-11-12T16:46:39.868000Z,2025-11-12T17:15:37.658000Z,,2025-11-12T17:15:38.427115Z,1738.0,CBN3YT5G,1263,Woman (including Trans Female/Trans Woman),Technical/community college,Left,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6914e50e8c6488f0c0177957,55d51a6b8ce09000127d4821,AWAITING REVIEW,Not Applicable,2025-11-12T19:50:38.261000Z,2025-11-12T20:18:23.170000Z,,2025-11-12T20:18:23.605866Z,1665.0,CBN3YT5G,8496,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Left,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6914e515ab8847e2f4d033e6,66f87d84fcfe786a13ff1edb,AWAITING REVIEW,Not Applicable,2025-11-12T19:51:37.636000Z,2025-11-12T20:21:32.980000Z,,2025-11-12T20:21:34.509244Z,1796.0,CBN3YT5G,1341,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Centre,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6914e594581693b2246a5030,67fc2265467c0ab6f8114ce2,AWAITING REVIEW,Not Applicable,2025-11-12T19:52:58.175000Z,2025-11-12T20:26:11.240000Z,,2025-11-12T20:26:11.892593Z,1994.0,CBN3YT5G,631,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Centre,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6914e5950be689296430ddc2,672380a64e984ba03695602f,AWAITING REVIEW,Not Applicable,2025-11-12T19:52:53.732000Z,2025-11-12T20:53:06.605000Z,,2025-11-12T20:53:07.037289Z,3613.0,CBN3YT5G,1891,Woman (including Trans Female/Trans Woman),Doctorate degree (PhD/other),Right,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
