video_id,comment,reply,comment_date,reply_date,video_title,category_id,channel_name
XZ9p-f4Ppr4,"Got brave? Come on man he's literally come out to his mates and didn't really want your questions or harassment. It's hardly getting brave is it? 
If youre gonna do what you do at least allow the guy to not wanna talk without saying they're getting brave.","I know, he's even titled it 'Seen his mates and got brave'  He seen his mates long before he noticed this prat, he came out shouting to them.

This guys a complete muppet. Did 14 years gets out and then proceeds to hang around them all day with his mum. 😂😂 Its bonkers",2023-11-01T21:45:54Z,2023-12-02T16:14:17Z,"** Prisoner Released ** Hmp Hindley 33 Month Done 17 - Spoke , Seen His Mates And Got Brave",22,JailTales
XZ9p-f4Ppr4,"He got brave, yet you shut down. He shut you down by calling you a grass, whats the crack there mate and why didnt you defend yourself ???","Because he is mate, well known he's said it on a vid I'm sure",2023-09-21T00:34:11Z,2023-09-24T16:43:43Z,"** Prisoner Released ** Hmp Hindley 33 Month Done 17 - Spoke , Seen His Mates And Got Brave",22,JailTales
XZ9p-f4Ppr4,"I'd have genuinely answered your first question, replied to your 2nd by saying ""I'm off, all the best"", and responded to your 3rd question by dropping you.",What right outside where you just came out from? That's not very clever!,2023-09-18T17:17:37Z,2023-10-24T23:35:37Z,"** Prisoner Released ** Hmp Hindley 33 Month Done 17 - Spoke , Seen His Mates And Got Brave",22,JailTales
XZ9p-f4Ppr4,Nobody is going to answer “ what u in for “ sound like a copper.  It’s weird hanging outside prisons filming guys coming out - purple Aki vibes 😂,"Purple aki is back, up to his old muscle feelin tricks again",2023-09-03T01:47:21Z,2023-09-11T19:10:06Z,"** Prisoner Released ** Hmp Hindley 33 Month Done 17 - Spoke , Seen His Mates And Got Brave",22,JailTales
XZ9p-f4Ppr4,"Imagine doing 33 months , can’t wait to get out go see ya people’s and you’ve got this ex spice con outside with some dusty old camera asking questions what a flid","Well he didn’t do 33 did he you melt, he done 17 an he’ll be right back in there with the attitude he has, why’re you so bothered, go away lad 😂",2023-09-02T10:22:14Z,2023-09-05T02:38:03Z,"** Prisoner Released ** Hmp Hindley 33 Month Done 17 - Spoke , Seen His Mates And Got Brave",22,JailTales
XZ9p-f4Ppr4,"Dude leave these guys alone. If you wanna know what it’s like in there then ask to do an interview with an ex con. Don’t pounce on them the minute they leave prison. 

This is more than likely gonna get one of them banged up again when they lamp you.","Lmao, what the heck are you on about. Don't commit crime if you don't want to be filmed walking out of there.",2023-08-31T06:28:54Z,2023-09-04T15:13:24Z,"** Prisoner Released ** Hmp Hindley 33 Month Done 17 - Spoke , Seen His Mates And Got Brave",22,JailTales
XZ9p-f4Ppr4,Called jail tails a grass it’s spreading threw prison system that he got 2 lads from Preston 23 years each and supposedly been a police informer for years guys takeing chances now everybody nos he a major snitch,"Remember when I first started youtube and you tried trolling me then ?? Haha 300k followers over 3 platforms, your to late , clearly know me but could never come say it to my face , just know that !! An I’m being paid now aswel haha 👊🏼🦍",2023-08-25T18:04:26Z,2023-08-25T18:12:01Z,"** Prisoner Released ** Hmp Hindley 33 Month Done 17 - Spoke , Seen His Mates And Got Brave",22,JailTales
XZ9p-f4Ppr4,keep up the good work mate come down south and do some iv not long got out of hmp rochester the place is full of rats well old prison cold water no heating in the cells rats run in and out you’re cell on a night eating all you’re canteen and cloths 😂😂,"Wandsworth and wormwood scrubs are up , back down soon 👊🏼🦍",2023-08-25T07:24:47Z,2023-08-26T01:23:28Z,"** Prisoner Released ** Hmp Hindley 33 Month Done 17 - Spoke , Seen His Mates And Got Brave",22,JailTales
wcQeWz-zvDA,This isnt your video you just steal from other content creators to get views,"But I gave credit to them, didn't you read the description?",2025-03-28T04:26:28Z,2025-03-28T04:46:06Z,Baldi Reacting To A Video (template) (extended) but Baldi is voiced by mystman12,20,Needaesh Rafael
74s6-npl6AY,Annoying clickbait titles. Videos are amazing but these titles are pure shitt,"I know, right? Jinx killed herself like ONCE this entire video, and even then she still killed him and got the 600g bounty lmao",2024-08-31T20:34:15Z,2024-09-01T08:11:03Z,Pink Ward makes this Poor Jinx one shot herself on repeat... (PERFECT CLONE BAITS),20,Pink Ward
