annotator_ir	session_id	example_id	knowledge	power	status	trust	support	similarity	identity	fun	conflict	other	other_text	none
test	test	2337	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE
test	test	2377	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE		FALSE
test	test	6661	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE
test	test	3744	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE
test	test	6512	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE
test	test	5775	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		FALSE
test	test	3799	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		TRUE
test	test	1622	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	hcdgc	FALSE
test	test	3033	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	3618	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	1824	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	2086	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	3048	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	4343	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	3687	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	3115	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	6541	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	2102	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	5921	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	1855	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE
5dad7f29033d57001357a2b8	67ebf188bee2f9ca11382f2f	1353	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	2504	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	3385	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE
5dad7f29033d57001357a2b8	67ebf188bee2f9ca11382f2f	1922	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	1110	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE		FALSE
62e2a39f43edf949ff427012	67ebf1399f7513d29b347a53	888	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE
5dad7f29033d57001357a2b8	67ebf188bee2f9ca11382f2f	4450	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		FALSE
