video_id,comment,reply,comment_date,reply_date,video_title,category_id_x,channel_name,category_id_y,category,reply_dimension,comment_dimension,source,target,comment_node,reply_node
SNE7-rirdQw,"Is Ott o better
Thanks again Auto better is auto better happy weekend sex sac ZackScott play arms so we can come over and place in Baltimore play some more arms say goodbye to Zach Scott and have such Wicked for babba see you later don't come back unless you have to use the bathroom or else I'm coming to your restaurant or don't speak to me or I'm not shut the fuk up b****go hang around a little bit more than I can afford to pay a great day and see where it goes from her but she didn't answer so the same time as the same to you can you can you please send the same time you can come over 15 with the nut in the drawer and I will get it is it is a good idea and the same time you can come over and watch the same size laying in bed thinking that I would be too u know if that is a whole lot I will get back right away and a half hours to you about to do the same size and color my hair I have a good feeling like I'm grown man and a half hours and I will be in the office tomorrow morning and I love u know it will be a good time to get to know you can do me not to be a dead I will be there at work and I will be in the office tomorrow and will be back to the same place as cool 👍 you are so sweet I got it was a real pleasure to have your own room and I have to go there at work but will be back to normal in a bit and get back to you with some of the same to get a whole to use my phone to see u soon as cool as hell and I love y
Get back to me at work but I can afford the rent is not the first time you are in the u know what I can really use the money and you can come by I can afford to pay a great and relaxing at the worst I can really insulting I love peace and blessings to you and I can go to the bank to get to work but I
our house is a great idea and I really
My rank
I'm getting my hair done and up scary but you can come over and watch the game with mashed potatoes and carrots celery and carrots and celery and and hope 😯💩 it wasn't the best but trylt
get a great day and I can go to the store and got them all that you can do me not being a great friend and he is not the same to you can do that too that's right pressure on I love quiet and not the other way",I have to go get back right away so I'm just going and I have to go there and r ty and carrots in a few hours and I will have your tall and watch I was wondering if I can get back on the right is not a problem glad to see I try if u get back on my feet and the office or the same size and I will get the information I have to go get o is it possible to go there all of the same old I can go to the store up in the morning and get in a bit to go to a meeting room is reserved and I will be in the evening and I have to be at the house at 😂😂 All I will be in the office tomorrow and will be answered and I have to buy the same time I was in the shower and of course I will I will eat it is not a big w I love y I will be in the area tomorrow and I'll let her rest of the week and I will be answered and I will have to check with my husband and I will rent a great day and I will be in TR u c know what to see y'all tomorrow and will let her know that too much I to understand what I'm saying is that I have to to I in the same time zone is a good feeling about this part and then I will be there tomorrow to see what's up with the nut in the office too young I remember correctly the same size as the same size as the other way around the office or do my best to get there by guys are in bed when everyone gets a whole lot of time or do the one that too late I can email we up with mashed taters the same time to I I love quiet day at work today and I can go to the gym at r I have to go get it and bring to your notice I can go to war I needs to get,2018-02-09T10:34:27Z,2018-02-09T10:38:31Z,ARMS Global Testpunch Gameplay Part 5 (Nintendo Switch),20,ZackScottGames,20,Gaming,social_support,conflict,0,10,C_conflict,R_social_support
SNE7-rirdQw,"Hey Zack! If you see this, then I commented about a half an hour before the sixth test punch... and I think that you should livestream one of the next games! If you did that I'm sure a lot of people would watch it and want to battle you. :3",Nathan Coe Sub 4 sub? Just reply saying done. No cheating because I have a live counter.,2017-05-29T17:25:00Z,2017-05-29T19:59:01Z,ARMS Global Testpunch Gameplay Part 5 (Nintendo Switch),20,ZackScottGames,20,Gaming,respect,social_support,1,11,C_social_support,R_respect
PrZ8-TorUXA,"I'm pretty sure the ""A3000(T)"" line means ""A3000"" or ""A3000T"" - usually that's what the parenthesis means in this situation.  I say that because they have the 4000D and 4000T separated - maybe something is different between them, but A3000 and A3000T are the same?  That's how I read it at least.","yeah im dumb, the 4000 and 4000T should be seperate as the 4000Tower has both ide and scsi, and the 3000 series tower or desktop are the same machine chip wise.",2023-08-30T05:41:22Z,2023-08-30T10:57:33Z,Amiga 4000 tower  i wouldn't do that if i was you.,28,Chris Edwards Restoration,28,Science & Technology,knowledge,conflict,0,12,C_conflict,R_knowledge
PrZ8-TorUXA,"For all those folks who want to get into Amiga again and they get it home, I always feel for them. Generally not long after, something goes wrong and some post in total panic. To them I just say “stay calm. This is how it is. This is Amiga life.” I don’t care how stable you finally get it. The simplest thing you try can devolve into absolute chaos as you see here. This is more common that you think. It’s all part of the fun. Just remember how old they are and all they’ve seen. Amiga require PATIENCE.",I've learned all my patience from Amiga. Other computer fanatics have failed at that. They do not know what is patience.,2023-08-29T17:50:33Z,2023-08-29T21:26:00Z,Amiga 4000 tower  i wouldn't do that if i was you.,28,Chris Edwards Restoration,28,Science & Technology,conflict,respect,2,13,C_respect,R_conflict
PrZ8-TorUXA,"AFAIR, ""maprom file FORCE"" should go to a different version (might need a reboot with no S-S if you run mmu tools). Thinking about it (been a while since I battled with versions), I thought maprom would always map in a new rom on reboot if it saw that the file was different to memory??? The things you forget when you don't practice them...",not on warm boot only a cold boot it remains resident.,2023-08-29T15:18:06Z,2023-08-29T18:09:00Z,Amiga 4000 tower  i wouldn't do that if i was you.,28,Chris Edwards Restoration,28,Science & Technology,knowledge,knowledge,3,12,C_knowledge,R_knowledge
PrZ8-TorUXA,"Hate to say it anything after 3.1 can be a Pain. Chris have u seen what Thomas says here in this thread about the filesystem identifier,i did not know about this. I think pfs or sfs is still the way to go.",I dont care for pfs since the newer ffs works so well w large drives now,2023-08-29T12:29:07Z,2023-08-29T13:44:36Z,Amiga 4000 tower  i wouldn't do that if i was you.,28,Chris Edwards Restoration,28,Science & Technology,knowledge,social_support,1,12,C_social_support,R_knowledge
PrZ8-TorUXA,"Nice video as always. Big box Amigas always fun. Think the rascsi/piscsi is my tool of choice for these fun activities, backing up drives and switching in and out drives and CDROMS. Guess for a WinUAE fan the rasps/piscsi are less suitable.","i dont use my RAscsi as much as i should. mainly 3000 scsi tests for me, but other scsi cards can benefit from it too. however most of my repairs are just empty boards. so i use floppies and test zorro. the owners can do their own hdd things.",2023-08-29T11:50:54Z,2023-08-29T12:01:48Z,Amiga 4000 tower  i wouldn't do that if i was you.,28,Chris Edwards Restoration,28,Science & Technology,knowledge,social_support,1,12,C_social_support,R_knowledge
hhy97Q-JWnQ,"Simply great music ... I've heard it a hundred times by now in different versions! :O)

(The bassplayer is playing WITH A PICK !!! UNFORGIVABLE ... Otherwise ... I listen to this song several times a month! ;O) )",Try playing that lick at 3:29 with your fingers. This guy can shred a bass.,2016-09-21T22:02:34Z,2017-03-23T03:42:48Z,RPWL - Roses (with Ray Wilson),10,Alejandra Leiva Briceño,10,Music,conflict,conflict,0,13,C_conflict,R_conflict
hhy97Q-JWnQ,"After listening to this song for the 100th time, I just realized this a is about someone who has died...""so in this silence say a prayer for the ones who went away"" and...""Roses...and in my mind, I'm calling out for you, but you can not hear me...."" Trying to accept death for someone who you love, very powerful song. The music so very powerful in its approach but add the meaning of the lyrics, and its that much more powerful.","The song is a about the last time I saw my loved one after she was killed by peadophiles, I could not look at her anymore so I covered her face with the petals of roses.",2015-07-16T01:14:47Z,2016-07-08T23:37:41Z,RPWL - Roses (with Ray Wilson),10,Alejandra Leiva Briceño,10,Music,conflict,social_support,1,13,C_social_support,R_conflict
hhy97Q-JWnQ,This song should be a big hit - send it to all rock Radio stations of the workd,"Here meet us again. No wonder. Marillion Fans are here too. No way for Radio airplay. The Majors decide what is played. Unfortunately, we do not.",2014-12-25T20:35:25Z,2021-02-08T23:20:23Z,RPWL - Roses (with Ray Wilson),10,Alejandra Leiva Briceño,10,Music,similarity,respect,2,14,C_respect,R_similarity
